wind_speed_kt,pressure_hpa,intensification_rate_kt_per_6h,severity_label
141.22,880,8.9,CATASTROPHIC
119.07,895.72,26.65,CATASTROPHIC
157.08,880,9.59,CATASTROPHIC
136.3,880,18.12,CATASTROPHIC
145.24,880,8.49,CATASTROPHIC
135.45,880,14.16,CATASTROPHIC
146.92,880,17.86,CATASTROPHIC
156.47,880,6.16,CATASTROPHIC
157.53,880,7.44,CATASTROPHIC
162.9,880,16.0,CATASTROPHIC
123.54,880,27.73,CATASTROPHIC
133.11,880,21.56,CATASTROPHIC
136.82,914.85,9.62,CATASTROPHIC
182.87,880,24.38,CATASTROPHIC
180.76,880,28.05,CATASTROPHIC
121.19,902.03,9.9,CATASTROPHIC
118.17,880,11.78,CATASTROPHIC
173.01,880,13.92,CATASTROPHIC
134.67,880,25.05,CATASTROPHIC
120.22,891.8,29.67,CATASTROPHIC
169.06,880,23.23,CATASTROPHIC
168.99,880,6.85,CATASTROPHIC
140.09,880,6.59,CATASTROPHIC
136.77,889.73,13.13,CATASTROPHIC
166.07,880,16.81,CATASTROPHIC
123.37,891.08,22.83,CATASTROPHIC
168.25,880,17.34,CATASTROPHIC
151.59,880,15.69,CATASTROPHIC
116.78,880,17.71,CATASTROPHIC
178.53,880,11.23,CATASTROPHIC
143.73,880,6.92,CATASTROPHIC
135.28,885.87,9.03,CATASTROPHIC
180.08,880,26.79,CATASTROPHIC
171.26,880,9.66,CATASTROPHIC
177.48,880,27.4,CATASTROPHIC
137.26,880,7.75,CATASTROPHIC
130.96,898.15,26.52,CATASTROPHIC
115.49,890.13,17.77,CATASTROPHIC
144.22,880,13.44,CATASTROPHIC
181.0,880,13.08,CATASTROPHIC
151.32,880,29.29,CATASTROPHIC
182.37,880,11.29,CATASTROPHIC
149.81,880,5.92,CATASTROPHIC
157.67,880,17.57,CATASTROPHIC
118.6,898.56,10.99,CATASTROPHIC
125.14,880.97,17.24,CATASTROPHIC
184.0,880,24.04,CATASTROPHIC
131.63,880,23.21,CATASTROPHIC
140.74,890.33,18.39,CATASTROPHIC
121.32,909.56,25.88,CATASTROPHIC
137.45,898.14,5.41,CATASTROPHIC
150.85,880,10.66,CATASTROPHIC
160.16,880,14.67,CATASTROPHIC
180.57,880,8.44,CATASTROPHIC
138.87,880,21.5,CATASTROPHIC
172.21,880,18.88,CATASTROPHIC
152.08,880,27.43,CATASTROPHIC
178.03,880,20.83,CATASTROPHIC
138.73,890.76,27.43,CATASTROPHIC
177.1,880,24.5,CATASTROPHIC
159.94,880,5.23,CATASTROPHIC
122.1,900.61,21.59,CATASTROPHIC
115.35,897.27,22.3,CATASTROPHIC
160.64,880,10.61,CATASTROPHIC
164.85,880,23.66,CATASTROPHIC
160.47,880,26.23,CATASTROPHIC
161.03,880,14.19,CATASTROPHIC
133.56,880,11.1,CATASTROPHIC
183.11,880,20.78,CATASTROPHIC
170.64,880,17.57,CATASTROPHIC
155.38,880,23.06,CATASTROPHIC
134.65,880,5.61,CATASTROPHIC
160.18,880,29.17,CATASTROPHIC
182.45,880,26.33,CATASTROPHIC
135.61,890.07,12.92,CATASTROPHIC
126.86,880,18.92,CATASTROPHIC
180.53,880,7.43,CATASTROPHIC
158.05,880,29.75,CATASTROPHIC
124.81,901.06,23.52,CATASTROPHIC
163.79,880,22.56,CATASTROPHIC
140.16,883.41,25.25,CATASTROPHIC
175.7,880,27.83,CATASTROPHIC
150.79,880.77,21.25,CATASTROPHIC
164.14,880,24.89,CATASTROPHIC
177.3,880,7.35,CATASTROPHIC
155.48,880,5.9,CATASTROPHIC
147.59,880,19.77,CATASTROPHIC
117.14,898.22,5.93,CATASTROPHIC
172.58,880,18.06,CATASTROPHIC
168.9,880,10.4,CATASTROPHIC
158.6,887.23,20.94,CATASTROPHIC
165.83,880,29.4,CATASTROPHIC
151.14,880,11.77,CATASTROPHIC
145.73,880,6.96,CATASTROPHIC
116.77,881.65,9.33,CATASTROPHIC
125.95,908.97,11.26,CATASTROPHIC
153.45,880,12.0,CATASTROPHIC
181.84,880,23.45,CATASTROPHIC
153.8,880,11.19,CATASTROPHIC
139.92,897.74,23.95,CATASTROPHIC
116.01,890.43,7.45,CATASTROPHIC
149.41,888.67,16.84,CATASTROPHIC
127.12,880,20.4,CATASTROPHIC
159.46,880,6.13,CATASTROPHIC
141.22,880,26.41,CATASTROPHIC
161.11,884.11,9.07,CATASTROPHIC
119.94,887.02,19.64,CATASTROPHIC
180.82,880,19.39,CATASTROPHIC
142.17,880,18.64,CATASTROPHIC
180.9,880,14.65,CATASTROPHIC
