magnitude,depth_km,tsunami_flag,severity_label
7.82,95.17,1,CATASTROPHIC
8.32,17.29,0,CATASTROPHIC
7.13,86.89,1,CATASTROPHIC
8.56,4.02,1,CATASTROPHIC
8.83,22.81,0,CATASTROPHIC
7.4,31.82,1,CATASTROPHIC
7.95,30.54,1,CATASTROPHIC
7.31,30.63,1,CATASTROPHIC
8.0,78.95,0,CATASTROPHIC
8.13,60.06,0,CATASTROPHIC
8.34,18.71,0,CATASTROPHIC
9.09,96.63,1,CATASTROPHIC
7.67,11.57,1,CATASTROPHIC
7.97,13.96,1,CATASTROPHIC
7.08,91.11,0,CATASTROPHIC
8.46,32.55,1,CATASTROPHIC
8.2,20.12,1,CATASTROPHIC
8.71,94.07,1,CATASTROPHIC
8.32,92.34,0,CATASTROPHIC
7.43,6.43,1,CATASTROPHIC
7.86,28.59,1,CATASTROPHIC
7.78,29.53,1,CATASTROPHIC
7.31,80.62,0,CATASTROPHIC
9.17,77.68,0,CATASTROPHIC
7.01,81.92,1,CATASTROPHIC
8.6,77.58,0,CATASTROPHIC
7.79,13.36,1,CATASTROPHIC
8.37,34.43,0,CATASTROPHIC
7.68,33.87,1,CATASTROPHIC
8.4,88.95,1,CATASTROPHIC
7.26,71.9,1,CATASTROPHIC
8.23,77.55,1,CATASTROPHIC
8.15,43.9,0,CATASTROPHIC
7.24,5.08,1,CATASTROPHIC
7.69,51.84,1,CATASTROPHIC
7.55,42.22,1,CATASTROPHIC
7.5,9.54,0,CATASTROPHIC
7.35,93.11,1,CATASTROPHIC
8.39,87.4,1,CATASTROPHIC
7.41,89.47,1,CATASTROPHIC
8.78,89.82,1,CATASTROPHIC
7.24,24.34,1,CATASTROPHIC
8.8,86.35,0,CATASTROPHIC
8.12,42.91,0,CATASTROPHIC
7.26,35.09,1,CATASTROPHIC
7.71,52.84,1,CATASTROPHIC
7.8,97.23,1,CATASTROPHIC
7.55,50.73,1,CATASTROPHIC
7.63,5.61,1,CATASTROPHIC
8.11,7.04,0,CATASTROPHIC
9.0,25.48,0,CATASTROPHIC
8.08,98.59,0,CATASTROPHIC
8.48,76.64,0,CATASTROPHIC
8.6,38.04,1,CATASTROPHIC
8.39,54.51,0,CATASTROPHIC
8.84,33.44,0,CATASTROPHIC
7.09,59.91,1,CATASTROPHIC
7.04,52.19,0,CATASTROPHIC
8.42,19.09,1,CATASTROPHIC
7.85,93.8,0,CATASTROPHIC
7.75,13.12,1,CATASTROPHIC
8.93,27.28,1,CATASTROPHIC
8.8,56.41,1,CATASTROPHIC
7.53,11.12,1,CATASTROPHIC
8.98,64.04,1,CATASTROPHIC
7.77,73.14,1,CATASTROPHIC
8.95,78.43,1,CATASTROPHIC
7.19,17.84,1,CATASTROPHIC
8.33,2.9,0,CATASTROPHIC
8.46,2.5,0,CATASTROPHIC
8.21,69.81,1,CATASTROPHIC
7.49,71.79,0,CATASTROPHIC
7.72,75.16,1,CATASTROPHIC
8.87,66.45,1,CATASTROPHIC
7.21,38.04,0,CATASTROPHIC
7.54,97.36,1,CATASTROPHIC
8.96,63.85,1,CATASTROPHIC
8.11,58.54,1,CATASTROPHIC
7.43,72.8,0,CATASTROPHIC
7.05,65.26,0,CATASTROPHIC
9.07,95.49,1,CATASTROPHIC
7.81,3.51,1,CATASTROPHIC
7.94,96.73,1,CATASTROPHIC
8.88,30.86,1,CATASTROPHIC
8.87,33.06,0,CATASTROPHIC
8.22,93.74,1,CATASTROPHIC
8.25,11.52,1,CATASTROPHIC
9.18,15.73,1,CATASTROPHIC
8.93,74.6,1,CATASTROPHIC
8.55,37.23,0,CATASTROPHIC
8.78,81.39,1,CATASTROPHIC
9.01,52.11,1,CATASTROPHIC
8.76,65.7,1,CATASTROPHIC
8.75,89.22,1,CATASTROPHIC
7.83,11.21,1,CATASTROPHIC
7.08,47.63,1,CATASTROPHIC
7.63,59.9,0,CATASTROPHIC
7.08,82.61,1,CATASTROPHIC
7.28,53.18,1,CATASTROPHIC
7.47,63.04,0,CATASTROPHIC
7.11,54.07,1,CATASTROPHIC
8.4,73.16,1,CATASTROPHIC
8.14,33.65,1,CATASTROPHIC
7.6,45.02,0,CATASTROPHIC
7.06,96.34,1,CATASTROPHIC
8.53,42.08,0,CATASTROPHIC
7.34,26.52,1,CATASTROPHIC
8.57,66.7,0,CATASTROPHIC
9.1,74.31,1,CATASTROPHIC
8.35,43.12,0,CATASTROPHIC
7.78,76.27,0,CATASTROPHIC
7.26,6.51,0,CATASTROPHIC
8.88,70.96,1,CATASTROPHIC
7.22,50.18,1,CATASTROPHIC
7.38,44.52,1,CATASTROPHIC
8.35,64.24,0,CATASTROPHIC
7.82,63.33,1,CATASTROPHIC
8.88,66.55,0,CATASTROPHIC
7.16,64.96,0,CATASTROPHIC
8.29,94.14,1,CATASTROPHIC
7.85,65.04,1,CATASTROPHIC
8.2,94.26,1,CATASTROPHIC
9.11,90.72,0,CATASTROPHIC
7.15,11.88,0,CATASTROPHIC
7.21,68.93,0,CATASTROPHIC
7.7,84.8,0,CATASTROPHIC
8.79,29.62,0,CATASTROPHIC
8.53,63.64,1,CATASTROPHIC
8.62,80.74,0,CATASTROPHIC
7.39,75.56,1,CATASTROPHIC
9.18,42.44,1,CATASTROPHIC
8.71,35.4,1,CATASTROPHIC
8.89,44.04,1,CATASTROPHIC
8.66,12.11,1,CATASTROPHIC
8.11,82.99,1,CATASTROPHIC
8.97,40.14,0,CATASTROPHIC
8.99,10.95,1,CATASTROPHIC
9.09,95.16,1,CATASTROPHIC
8.39,45.95,0,CATASTROPHIC
7.72,67.91,1,CATASTROPHIC
8.74,79.38,0,CATASTROPHIC
8.09,7.64,1,CATASTROPHIC
7.97,89.0,1,CATASTROPHIC
7.26,16.01,1,CATASTROPHIC
8.36,11.91,0,CATASTROPHIC
8.54,9.13,1,CATASTROPHIC
8.55,9.97,0,CATASTROPHIC
9.17,38.68,1,CATASTROPHIC
8.79,94.83,1,CATASTROPHIC
8.66,38.87,0,CATASTROPHIC
8.71,56.72,1,CATASTROPHIC
8.99,12.9,1,CATASTROPHIC
7.02,47.93,0,CATASTROPHIC
7.26,13.52,1,CATASTROPHIC
8.64,59.17,1,CATASTROPHIC
7.82,30.0,1,CATASTROPHIC
7.49,96.4,0,CATASTROPHIC
9.13,6.23,1,CATASTROPHIC
8.16,99.31,0,CATASTROPHIC
8.22,96.99,1,CATASTROPHIC
8.38,70.18,1,CATASTROPHIC
8.38,59.26,1,CATASTROPHIC
7.1,29.53,1,CATASTROPHIC
8.96,46.65,1,CATASTROPHIC
7.61,20.44,1,CATASTROPHIC
7.78,59.2,0,CATASTROPHIC
9.14,98.65,1,CATASTROPHIC
8.18,32.33,1,CATASTROPHIC
8.51,17.94,1,CATASTROPHIC
8.81,95.08,1,CATASTROPHIC
8.35,42.99,1,CATASTROPHIC
8.91,6.43,0,CATASTROPHIC
7.83,81.43,1,CATASTROPHIC
7.33,60.22,1,CATASTROPHIC
9.13,84.53,1,CATASTROPHIC
8.03,42.65,0,CATASTROPHIC
7.12,86.74,1,CATASTROPHIC
9.2,99.67,1,CATASTROPHIC
8.69,94.59,1,CATASTROPHIC
7.54,46.15,0,CATASTROPHIC
9.1,61.41,0,CATASTROPHIC
8.48,62.58,1,CATASTROPHIC
7.25,67.81,1,CATASTROPHIC
8.7,52.98,1,CATASTROPHIC
8.21,56.97,1,CATASTROPHIC
7.89,15.13,0,CATASTROPHIC
8.66,62.79,1,CATASTROPHIC
7.47,15.36,0,CATASTROPHIC
7.77,59.81,1,CATASTROPHIC
7.96,90.61,1,CATASTROPHIC
8.13,78.8,1,CATASTROPHIC
8.37,86.51,1,CATASTROPHIC
7.32,92.81,1,CATASTROPHIC
7.57,47.0,1,CATASTROPHIC
8.08,34.22,1,CATASTROPHIC
7.53,9.43,0,CATASTROPHIC
7.28,16.89,0,CATASTROPHIC
8.41,19.82,1,CATASTROPHIC
8.97,48.45,1,CATASTROPHIC
