severity_code,severity_label,population,disaster_type_code,disaster_type_label,water_purification_units,emergency_shelter_kits,medical_supply_crates,sar_equipment_sets,communication_radios,portable_generators,food_ration_packages,thermal_blankets,first_aid_stations,evacuation_vehicles
3,SEVERE,1692743,0,earthquake,7449,10276,5030,4606,3085,3245,8055,8602,1732,1712
1,MINOR,791743,1,cyclone,485,503,175,138,205,100,492,549,73,74
2,MODERATE,2416182,1,cyclone,5940,6840,2138,2005,2725,1759,5904,8591,1206,1296
2,MODERATE,4798669,0,earthquake,10386,8425,4898,3858,4161,2446,10306,9761,2371,2327
4,CATASTROPHIC,2704238,0,earthquake,28288,27274,16071,20295,12380,12827,26924,26297,6844,7467
2,MODERATE,1737095,0,earthquake,3639,3927,1773,1840,1581,858,3984,3083,951,1018
2,MODERATE,2991650,0,earthquake,6178,5934,3131,3211,2758,1369,5893,5405,1518,1478
0,NONE,3331068,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,4027419,1,cyclone,29769,28686,11708,10316,9417,11637,29512,29323,2958,4999
4,CATASTROPHIC,4422880,0,earthquake,40217,40613,29464,29195,17488,24909,44160,44107,14353,11869
2,MODERATE,416880,0,earthquake,838,1039,408,429,415,184,929,896,224,189
4,CATASTROPHIC,4300385,1,cyclone,62714,57860,28769,24993,30792,32514,53576,70037,13827,14008
2,MODERATE,4336787,1,cyclone,11758,9144,4545,3790,4768,3472,13386,13526,2032,2466
0,NONE,4341747,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,668234,0,earthquake,3439,3102,2378,2099,1177,1424,3015,3604,745,613
2,MODERATE,4301754,0,earthquake,7469,9223,4437,4327,4693,2144,6937,7874,2444,2402
0,NONE,4924207,0,earthquake,0,0,0,0,0,0,0,0,0,0
3,SEVERE,4842611,0,earthquake,21913,22767,14366,11986,8386,8114,21434,27577,4428,4345
1,MINOR,2294544,1,cyclone,1652,1775,593,332,579,361,1568,2383,242,306
3,SEVERE,448982,0,earthquake,2071,2191,1281,1357,1105,730,2398,1882,427,497
3,SEVERE,2058852,0,earthquake,9737,11093,6147,6496,3956,4298,12006,9533,2036,1958
2,MODERATE,1423286,1,cyclone,3887,4330,1252,1100,1626,997,4353,4442,621,932
4,CATASTROPHIC,3699391,0,earthquake,43118,35281,26119,24360,17239,18009,35955,34759,10488,12315
4,CATASTROPHIC,288790,1,cyclone,4333,4578,1995,1541,1742,2674,3906,4725,848,1045
2,MODERATE,721747,1,cyclone,2017,2386,738,561,904,602,1970,2394,336,395
3,SEVERE,1314093,1,cyclone,8635,8803,4427,2746,3644,3555,7483,9042,1570,1570
1,MINOR,157164,0,earthquake,81,83,44,34,33,14,64,68,14,17
4,CATASTROPHIC,1355531,0,earthquake,15106,14718,8893,8215,6556,8983,11461,12412,4226,4015
3,SEVERE,3599865,0,earthquake,20021,21856,10429,11068,7433,8405,19599,18892,3619,3621
4,CATASTROPHIC,2136233,0,earthquake,22556,23226,16679,14239,9971,12133,17010,24716,6214,6405
3,SEVERE,4984445,1,cyclone,35159,37571,15782,12839,10641,16092,30619,28190,5013,5476
4,CATASTROPHIC,1425541,1,cyclone,18947,19982,10076,7365,8574,11223,21221,23434,5197,4738
2,MODERATE,3295887,0,earthquake,8035,6058,3019,3098,2595,1561,6091,6690,1704,1957
0,NONE,4511732,1,cyclone,0,0,0,0,0,0,0,0,0,0
1,MINOR,4071647,0,earthquake,2095,1812,1263,807,836,418,1536,1852,402,404
3,SEVERE,1722320,0,earthquake,9917,8880,5005,4340,2973,3629,9524,9938,1579,1669
1,MINOR,508153,1,cyclone,372,352,166,76,127,86,244,356,53,68
2,MODERATE,315826,0,earthquake,698,520,278,251,307,169,726,636,183,136
2,MODERATE,1615952,0,earthquake,3168,3690,1690,1710,1369,905,3353,2788,847,641
2,MODERATE,666997,1,cyclone,1543,1958,716,518,964,484,1656,1905,306,377
4,CATASTROPHIC,2245131,1,cyclone,25630,27784,15650,11441,13635,20161,28080,30108,6857,7455
3,SEVERE,1567438,0,earthquake,7621,6033,3989,5345,3650,3056,8289,8081,2050,1742
4,CATASTROPHIC,118033,1,cyclone,1354,1378,850,628,726,770,1294,1807,341,335
1,MINOR,467010,0,earthquake,213,233,173,102,89,54,224,217,53,40
1,MINOR,912826,1,cyclone,469,637,256,127,245,136,603,746,91,114
2,MODERATE,2357821,0,earthquake,4850,5556,2650,2337,2143,1254,4817,5521,1295,1269
4,CATASTROPHIC,1050493,0,earthquake,10296,11005,6081,8266,6338,4230,9034,10746,2967,3233
4,CATASTROPHIC,3254600,0,earthquake,32312,29213,25717,23840,15362,18722,30891,28504,9942,10108
3,SEVERE,137023,0,earthquake,708,656,391,393,284,262,704,827,148,132
0,NONE,829735,1,cyclone,0,0,0,0,0,0,0,0,0,0
2,MODERATE,1627781,0,earthquake,2774,3627,1682,1560,1730,998,3314,3336,776,744
4,CATASTROPHIC,2361632,1,cyclone,32723,30056,19246,13173,14293,16034,28308,27643,7123,10632
4,CATASTROPHIC,126108,0,earthquake,1439,1201,885,870,738,663,1410,1306,374,390
1,MINOR,76077,0,earthquake,39,33,28,15,15,8,39,38,7,7
3,SEVERE,2414472,1,cyclone,15177,16106,6951,5546,5520,7932,14038,16787,2032,3307
4,CATASTROPHIC,2154697,1,cyclone,29342,34144,14766,10922,10916,11660,28463,34826,6768,6570
3,SEVERE,4108997,0,earthquake,20070,21975,14606,13715,7997,7308,25831,20666,4114,4099
2,MODERATE,4096951,0,earthquake,7826,6453,3509,4697,4221,2287,9046,7374,2546,2447
0,NONE,1599601,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,4846769,0,earthquake,24017,24306,13515,13481,9789,9567,25446,21681,4676,4735
2,MODERATE,3002819,1,cyclone,6963,8925,3180,2327,3720,1970,8528,8841,1422,1990
1,MINOR,3816446,1,cyclone,2398,2645,1090,672,858,644,2389,2997,387,413
2,MODERATE,90093,0,earthquake,174,204,109,96,84,43,156,182,37,47
0,NONE,4085412,0,earthquake,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,1400283,1,cyclone,17066,19655,10309,7272,8558,9708,17090,18049,3813,4359
0,NONE,3563706,0,earthquake,0,0,0,0,0,0,0,0,0,0
0,NONE,1170365,0,earthquake,0,0,0,0,0,0,0,0,0,0
2,MODERATE,2524388,1,cyclone,5849,7725,2079,2250,2629,1850,7262,7663,1365,1608
4,CATASTROPHIC,3737973,1,cyclone,46388,55643,22171,20811,24263,28410,50764,54873,12480,13348
2,MODERATE,3182993,0,earthquake,5471,6684,2851,3589,3099,1612,6628,5137,1487,1757
1,MINOR,2735264,1,cyclone,1957,1877,730,333,627,361,2239,1918,254,278
0,NONE,1859582,0,earthquake,0,0,0,0,0,0,0,0,0,0
0,NONE,397710,0,earthquake,0,0,0,0,0,0,0,0,0,0
2,MODERATE,4165100,1,cyclone,10138,11043,3905,3146,4679,3495,12367,11782,1909,2616
2,MODERATE,4988023,0,earthquake,12327,10911,4568,5070,4807,2639,10518,11057,2281,2520
3,SEVERE,1725690,0,earthquake,8667,8084,5646,5195,4095,3734,9580,8742,1752,2024
3,SEVERE,4176224,0,earthquake,21728,22374,13158,13602,9194,9631,19525,21884,4021,3828
1,MINOR,442061,0,earthquake,216,221,143,75,88,44,237,191,50,45
2,MODERATE,3648966,1,cyclone,10612,9975,3216,2802,4716,2921,9979,10263,1961,2403
0,NONE,2042999,0,earthquake,0,0,0,0,0,0,0,0,0,0
1,MINOR,3157473,1,cyclone,2191,2199,1070,510,820,450,1903,2541,329,388
4,CATASTROPHIC,4767493,0,earthquake,51955,46690,31000,31139,24014,23290,52206,46039,15025,14261
0,NONE,2442266,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,4848341,1,cyclone,34321,28108,14976,11588,11497,12831,28561,42248,5437,6249
3,SEVERE,2379877,0,earthquake,11870,11219,6951,6851,5903,4748,12523,14019,2171,2388
4,CATASTROPHIC,2049949,0,earthquake,19533,22703,15256,12945,10610,10385,23987,23334,5206,6679
3,SEVERE,364359,1,cyclone,2667,2693,1056,1085,931,1309,2688,2859,343,436
3,SEVERE,4813673,1,cyclone,29250,32065,13978,12042,12156,13612,31212,43836,5645,6028
4,CATASTROPHIC,1031519,1,cyclone,13460,14614,7663,5185,6029,6445,13945,16474,2945,4297
3,SEVERE,4188891,1,cyclone,27305,33955,13763,13015,9641,12662,31499,26567,4740,5247
1,MINOR,2377074,1,cyclone,1773,1893,668,395,598,365,1460,1663,237,318
3,SEVERE,3109244,0,earthquake,17943,18351,8688,9584,5394,6885,17173,15087,3114,3080
3,SEVERE,61367,1,cyclone,397,450,185,128,161,175,336,440,70,79
3,SEVERE,1942811,0,earthquake,8124,10885,6699,5932,3703,4581,9882,10772,1842,1951
1,MINOR,2843940,1,cyclone,1876,1895,799,430,799,459,1759,1609,240,358
2,MODERATE,2428081,0,earthquake,4433,5052,2200,2584,2495,1135,5377,4776,1280,1102
1,MINOR,4642929,1,cyclone,3308,3350,1330,747,1136,727,2692,3714,413,648
4,CATASTROPHIC,4352360,1,cyclone,50979,58251,25550,26642,25240,33315,53161,63152,14654,16756
3,SEVERE,2887698,1,cyclone,20252,19422,7390,6307,6001,9671,21281,25093,2304,3836
4,CATASTROPHIC,3360160,0,earthquake,26373,39543,23619,22974,17558,15038,33610,39046,10707,10139
1,MINOR,2861509,1,cyclone,1601,1673,946,569,781,453,1970,2329,307,353
0,NONE,1701667,0,earthquake,0,0,0,0,0,0,0,0,0,0
1,MINOR,4117923,1,cyclone,2411,3153,1114,644,1042,557,2704,2676,387,509
1,MINOR,3021097,1,cyclone,1959,2231,926,549,734,433,1987,2388,303,364
0,NONE,3329049,0,earthquake,0,0,0,0,0,0,0,0,0,0
1,MINOR,4021080,1,cyclone,2465,2936,1068,627,1013,581,3258,2445,380,437
2,MODERATE,4758982,1,cyclone,10732,14328,4498,3869,5462,3322,14442,15594,1934,2291
0,NONE,4423408,0,earthquake,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,4077716,1,cyclone,54764,61846,22853,23689,27469,26883,61876,63728,11370,14597
3,SEVERE,3765689,1,cyclone,24747,27356,10533,9510,7631,9238,18760,26832,3482,4875
4,CATASTROPHIC,4863059,1,cyclone,68361,63410,35056,29961,25565,36563,58907,64378,12347,15422
0,NONE,4586440,0,earthquake,0,0,0,0,0,0,0,0,0,0
0,NONE,4861993,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,3332049,1,cyclone,21925,24979,8027,7822,7178,10297,22279,24701,3502,4397
1,MINOR,1809377,1,cyclone,1235,1273,444,270,308,279,1209,1249,190,189
3,SEVERE,3447794,0,earthquake,16871,19808,10497,9994,6472,6687,16569,17532,3503,3448
0,NONE,960612,0,earthquake,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,1546236,1,cyclone,19633,19381,11242,9843,8355,12268,17020,25589,4831,6165
4,CATASTROPHIC,3246417,0,earthquake,32414,34344,22996,20513,18174,15974,32375,29434,9307,8877
3,SEVERE,597218,0,earthquake,3288,3081,1880,1770,1249,1214,3083,2936,645,554
3,SEVERE,2073290,0,earthquake,11135,10676,7029,7191,4159,3834,10843,9663,2490,2101
4,CATASTROPHIC,3919047,0,earthquake,42298,44002,27095,27691,19614,18531,36176,30286,10491,9665
4,CATASTROPHIC,629085,1,cyclone,7538,9581,4670,3984,3301,4481,8408,8562,2008,2542
1,MINOR,4018365,0,earthquake,2301,2370,1295,851,735,416,2121,1966,377,350
2,MODERATE,1519603,1,cyclone,4034,4472,1470,1215,1959,1098,4070,3802,665,966
3,SEVERE,4826847,0,earthquake,26848,22204,14907,11993,9132,9956,22681,24793,4820,5085
3,SEVERE,1630668,1,cyclone,13037,12642,3962,3944,4622,5197,10947,13330,1529,2050
1,MINOR,2513024,1,cyclone,1599,1609,710,425,703,391,1438,1968,281,283
3,SEVERE,3099555,1,cyclone,20612,22209,10067,8032,8276,10027,19933,26087,2767,3721
4,CATASTROPHIC,3380355,1,cyclone,40967,50504,24594,17273,19437,22359,48253,49407,11958,12267
4,CATASTROPHIC,3562169,0,earthquake,34751,36016,31199,24090,17265,17927,39505,30559,11172,9812
3,SEVERE,2790373,0,earthquake,14075,16013,7415,8209,5180,4539,13836,13782,3212,2966
2,MODERATE,2643061,0,earthquake,5527,4714,2292,2638,2867,1437,5474,5311,1389,1208
4,CATASTROPHIC,1739461,0,earthquake,16379,15131,10471,8759,9300,8607,18976,19878,5270,5294
3,SEVERE,2747176,1,cyclone,17027,18564,8841,6478,6382,8226,19439,19176,2728,3377
1,MINOR,4464344,0,earthquake,2071,2124,1480,1074,775,397,2194,2256,481,406
2,MODERATE,2163859,1,cyclone,6021,6117,2140,1626,2826,1473,5001,6859,937,1611
0,NONE,4747647,1,cyclone,0,0,0,0,0,0,0,0,0,0
0,NONE,2445840,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,2167354,1,cyclone,11082,15116,6585,5756,5615,7028,12715,17002,2510,2699
0,NONE,3227544,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,4514276,0,earthquake,24940,19455,9805,14982,7919,9220,19037,25500,5662,4596
4,CATASTROPHIC,916383,1,cyclone,11256,14040,5863,5717,5493,7081,12350,12898,2856,3044
2,MODERATE,239968,1,cyclone,660,693,244,185,297,174,634,814,107,160
2,MODERATE,3888577,0,earthquake,6744,8619,4175,3668,3915,2146,7421,7542,1991,1855
2,MODERATE,4565537,0,earthquake,8415,9686,4044,5485,5288,2399,9523,9480,2171,2350
2,MODERATE,3351463,1,cyclone,8363,9876,3180,2889,4575,2768,7026,10180,1848,1746
3,SEVERE,475595,0,earthquake,2550,2536,1253,1545,977,1013,2148,2413,394,367
3,SEVERE,3232244,1,cyclone,20508,20332,9601,8852,7719,9402,21825,22553,3504,4070
4,CATASTROPHIC,1076941,0,earthquake,12968,11784,9196,7939,4592,5243,8938,11338,3471,2944
0,NONE,163834,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,401067,0,earthquake,2041,2348,1068,1189,722,764,2292,1950,457,445
